pet_type,name,gender,birthdate,size,color,avatar
cat,Princess,Female,10/06/2015,-,fawn,https://robohash.org/etrerumratione.jpg?size=100x100&set=set4
dog,Ruby,Female,11/02/2016,L,-,-,-
dog,Cookie,Female,09/16/2017,L,-,-
dog,Chester,Male,02/05/2017,L,-,-
cat,Lucy,Male,02/16/2017,-,red,https://robohash.org/sintdelenitiexpedita.bmp?size=100x100&set=set4
cat,Lucy,Female,07/27/2017,-,black,https://robohash.org/sitdoloremnisi.bmp?size=100x100&set=set4
dog,Sugar,Female,11/14/2016,L,-,-
dog,Hank,Male,01/09/2019,L,-,-
cat,Lilly,Female,12/09/2016,-,black,https://robohash.org/etrerummagnam.png?size=100x100&set=set4
cat,Baby,Female,11/17/2017,-,amber,https://robohash.org/cupiditaterepudiandaebeatae.jpg?size=100x100&set=set4
dog,Abby,Female,07/07/2015,S,-,-
cat,Rafaelita,Female,12/01/2018,-,cinnamon,https://robohash.org/expeditafugitsit.jpg?size=100x100&set=set4
cat,Stacia,Female,05/12/2017,-,red,https://robohash.org/quidelenitia.bmp?size=100x100&set=set4
dog,Boomer,Male,06/27/2017,M,-,-
cat,Sammy,Male,11/23/2016,-,red,https://robohash.org/consequunturfacilisrecusandae.bmp?size=100x100&set=set4
cat,Shadow,Male,03/12/2017,-,white,https://robohash.org/dignissimosetvoluptatem.jpg?size=100x100&set=set4
cat,Toby,Male,10/14/2016,-,cream,https://robohash.org/aimpeditrecusandae.bmp?size=100x100&set=set4
cat,Jaquith,Female,03/24/2018,-,chocolate,https://robohash.org/laudantiumfugiatnam.png?size=100x100&set=set4
cat,Barrie,Male,01/12/2018,-,white,https://robohash.org/dolorfugiatid.png?size=100x100&set=set4
dog,Penelope,Female,10/31/2018,S,-,-
dog,Winnie,Female,07/25/2018,M,-,-
dog,Lory,Female,02/24/2017,S,-,-
cat,Samuele,Male,11/29/2015,-,cinnamon,https://robohash.org/minusmolestiaeexercitationem.png?size=100x100&set=set4
dog,Evered,Male,07/23/2018,S,-,-
cat,Jax,Male,01/27/2017,-,apricot,https://robohash.org/fuganondoloremque.png?size=100x100&set=set4
cat,Julissa,Female,07/22/2018,-,white,https://robohash.org/quialiquamdebitis.jpg?size=100x100&set=set4
dog,Binnie,Female,01/10/2015,M,-,-
cat,Augusta,Female,03/20/2015,-,amber,https://robohash.org/assumendavoluptatemlaudantium.jpg?size=100x100&set=set4
cat,Andre,Male,04/29/2015,-,fawn,https://robohash.org/totamdignissimosmaiores.bmp?size=100x100&set=set4
dog,Staci,Female,03/10/2015,M,-,-
cat,Blayne,Male,11/29/2017,-,chocolate,https://robohash.org/facereatquerepellat.png?size=100x100&set=set4
dog,Ki,Female,04/13/2017,L,-,-
cat,Elsie,Female,08/22/2018,-,amber,https://robohash.org/assumendavoluptatemlaudantium.jpg?size=100x100&set=set4
cat,Jaimie,Male,07/05/2018,-,white,https://robohash.org/quialiquamdebitis.jpg?size=100x100&set=set4
dog,Godard,Male,06/18/2015,L,-,-
cat,Amos,Male,07/30/2017,-,white,https://robohash.org/quialiquamdebitis.jpg?size=100x100&set=set4
dog,Faun,Female,09/10/2015,S,-,-
dog,Darius,Male,08/14/2016,S,-,-
cat,Glad,Female,12/01/2015,-,red,https://robohash.org/oditsuscipitpossimus.png?size=100x100&set=set4
cat,Vivian,Female,12/12/2018,-,black,https://robohash.org/etliberosoluta.png?size=100x100&set=set4
cat,Ainsley,Female,06/23/2017,-,black,https://robohash.org/etliberosoluta.png?size=100x100&set=set4
cat,Amye,Female,02/22/2016,-,chocolate,https://robohash.org/facereatquerepellat.png?size=100x100&set=set4
dog,Lanie,Female,01/08/2018,L,-,-
dog,Elizabeth,Female,03/02/2017,S,-,-
